Yield,Clusters,Lat,Long,Intercrop,Manure,Labour,Pest,Residue,Rotation,Credit,Fert,Fallow,Femhead,Minpltdis,Hhsize,Headage,Headedu,Meanedu,Landsize,Nplots,IntercropH,FempltsF,TLU,CropD,LvstD,Ntreat,FertHa,Ncrop,Totincome,PestHa,aprEVI,mayEVI,junEVI,julEVI,augEVI,sepEVI,octEVI,seasEVI,aprprec,mayprec,junprec,julprec,augprec,sepprec,octprec,seasprec,pdsi,lst,Maxtemp,Mintemp,Soilmoist,Silt,Sand,Clay,CEC,Orgcab,Soilbulk,DEM,MarketAccess,LivDens
2.718099833,2,10.06362057,-2.607975483,0,0,1,0,1,1,1,0,0,0,3,4,73,0,3,0.809388995,1,0,0,1.400000036,1,1,0,0,1,1074.456299,0,0.159549996,0.334699988,0.341549993,0.475250006,0.459149987,0.434500009,0.386700004,0.386700004,35,79,57,176,208,109,111,775,-3.5,35.45000076,32.5,22.60000038,557,17.19979859,67.07567702,12.08322563,23.72389707,20.49145667,147.4796255,269.6137446,13,6463.012803
7.412999153,6,9.907129288,-0.857030511,1,0,0,0,1,1,0,1,0,0,3,4,75,0,2.666666746,4.046945095,1,3.642250538,0,1.300000012,4,3,0,135.9049835,4,2530.380859,0,0.139799997,0.196549997,0.296750009,0.242650002,0.301600009,0.341800004,0.425900012,0.260899991,27,59,75,166,150,153,173,803,-4,33.49000168,33.29999924,23.70000076,462.1000061,16.33910806,70.70818347,8.460913197,19.66382103,19.60828271,145.287656,132.5002241,12,4649.071554
20.75639725,1,10.91910458,-1.043933749,0,0,0,0,1,0,1,0,0,0,1,4,67,10,6.333333492,0.910562634,3,0,100,0.350000013,3,3,0,0,3,590.5649414,0,0.194122372,0.297969177,0.293027164,0.346668019,0.349957407,0.481076245,0.345109911,0.314323252,17,42,72,160,184,94,93,662,-3.900000095,33.12674486,33.79999924,23.60000038,339,17.77252339,69.22890462,13.50546963,21.80425968,16.75253709,155.9829687,182.6779062,12,10868.36651
41.18332672,2,9.498153687,-1.244459033,0,1,0,1,0,1,0,1,0,0,2,5,40,0,2.666666746,2.225819826,4,0,0,1.559999999,4,3,1,134.7817993,4,3543.042725,48.31016159,0.257866726,0.326232532,0.478164232,0.442465731,0.313145813,0.481752571,0.451083878,0.441361426,51,63,56,180,121,170,202,843,-4,31.5,33,23.60000038,553.9000244,18.85748903,69.35160452,11.93177943,20.01456458,19,150.3628651,147.5562748,11,3319.846282
49.41999435,1,10.58020592,-0.873409629,0,0,1,1,1,1,0,1,0,0,3,6,65,0,3,4.046945095,1,0,0,0.550000016,1,3,0,111.1949844,1,2337.154541,38.4095459,0.136938858,0.297749996,0.259964491,0.348516369,0.313215932,0.516907988,0.3287021,0.305299997,21,41,81,167,182,134,124,750,-3.799999952,33.03979318,33.40000153,23.29999924,449.7000122,17.93002455,69.75764221,11.59415297,20.94020788,17.17975439,152.2663756,175.5126928,12,8897.722728
55.3503952,1,10.65933132,-0.82671535,1,1,0,0,0,0,0,1,0,0,1,3,90,0,1.666666627,0.809388995,1,0.607041717,0,0.500000015,3,1,0,308.8749695,3,132.7112122,0,0.157678267,0.195727379,0.161675809,0.422992935,0.346239786,0.556767025,0.464387068,0.199044186,21,42,79,163,183,134,119,741,-3.799999952,36.18999863,33.29999924,23.20000076,431.5,20.89914808,60.55435166,16.6524321,22.96684092,19.89914808,146.4406502,194.6596679,12,13201.76865
61.7749939,1,10.30584335,-0.817459941,1,0,0,0,1,1,0,0,0,0,4,3,45,0,4.5,4.046945095,1,4.046945095,0,0,3,0,0,0,3,1139.237183,0,0.148300827,0.163289463,0.254885466,0.331788366,0.341325066,0.396503028,0.315256205,0.310875343,22,43,76,170,175,140,162,788,-4.099999905,36.49000168,33.20000076,23.20000076,506,20.15876589,67.9719138,14.13350301,21.00636267,18.23935935,148.748966,156.0327533,13,4972.195727
61.7749939,1,10.66085529,-0.832299888,1,1,1,1,1,1,0,1,1,0,1,9,79,0,1.5,4.653986931,3,4.046945095,0,2.300000042,3,3,0,32.2304306,6,2018.515015,7.665482998,0.153099999,0.190750003,0.1787,0.427049994,0.310750008,0.554499984,0.490799993,0.215299994,21,42,79,163,183,134,119,741,-3.799999952,35.02000046,33.29999924,23.20000076,431.5,22.09418905,55.53651759,19.08158337,23.39828861,20.31374054,144.2916416,198.9693371,12,13808.79412
74.12998962,2,10.32757664,-2.460934162,1,0,0,1,1,1,0,1,1,1,3,5,50,0,4.666666508,1.821125269,2,1.61877799,100,0.119999997,5,2,0,54.91110611,5,2217.255859,26.30599213,0.150068769,0.225855189,0.348158108,0.319676756,0.35891084,0.515861751,0.355065911,0.331923592,28,70,53,180,241,114,97,783,-3.299999952,36.43999863,32.5,22.20000076,648.9000244,15.52053884,73.62049811,9.718084841,22.38731931,19.17596513,146.1987756,319.6831766,13,3183.834411
74.12998962,2,10.03679371,-2.711956978,1,0,1,0,1,1,0,0,1,0,4,5,67,0,0,2.023472548,1,2.023472548,0,5,3,2,0,0,3,1876.691528,0,0.191750005,0.334600002,0.310600013,0.386000007,0.460150003,0.485900015,0.401300013,0.401300013,39,81,59,177,197,106,119,778,-3.400000095,34.84000015,32.5,22.70000076,537.7999878,20.17526097,58.54602441,13.47346024,25.22680062,20.01310285,146.1914931,257.3946413,13,6140.814394
98.83998871,1,10.58622932,-0.869892418,1,0,1,1,1,1,0,1,0,0,5,6,30,13,7.25,1.011736274,1,2.023472548,0,0,2,0,0,98.83998871,2,2229.548584,57.92914963,0.159349993,0.281699985,0.28064999,0.425599992,0.352699995,0.50999999,0.367199987,0.344999999,20,42,80,165,182,133,121,743,-3.799999952,32.13000107,33.40000153,23.29999924,438.2000122,16.8464562,68.8811746,12.19436502,21.95772912,17.92700335,151.8062623,172.1358978,12,9381.979207
98.83998871,6,9.666780472,-0.915076017,0,0,1,1,1,1,0,0,1,0,3,6,35,0,0,2.428166866,2,0,0,0.500000015,2,2,0,0,3,536.1859131,17.84050179,0.174327877,0.347099015,0.374639606,0.385862899,0.32441654,0.455102096,0.490786552,0.376991855,37.61088529,75.07392529,67.46303736,158.5369574,132.9260747,163.1478506,190.2957014,825.0544449,-4.046303975,33.08701507,33.34630522,23.94630372,427.6948927,17.78976562,72.11410398,8.205656966,18.51218018,18.5803803,150.0692217,127.2593689,11,4769.725936
