Yield,Clusters,Long,Lat,Intercrop,Fert,Manure,Labour,Pest,Residue,Rotation,Fallow,Femhead,Mindis,Erosion,Hhsize,Headage,Meanedu,Educmax,Landsize,Nplots,FempltsF,TLU,CropD,LvstD,Ncrop,FertHa,Totincome,MaizeA,octEVI,novEVI,decEVI,janEVI,febEVI,marEVI,aprEVI,seasEVI,octprec,novprec,decprec,janprec,febprec,marprec,aprprec,seasprec,pdsi,lst,Maxtemp,Mintemp,Soilmoist,Silt,Sand,Clay,CEC,Orgcab,Soilbulk,DEM,MarketAccess,LivDens
1.482630014,6,34.1005556,-14.20748861,1,0,1,0,0,1,0,0,1,0,1,3,51,4,7,0.404694468,1,100,0.800000012,2,1,2,0,5.727799892,0.202347234,0.163299993,0.250200003,0.204099998,0.4384,0.371499985,0.420450002,0.329549998,0.290399998,0,15,199,248,226,125,48,861,-3.480000019,35.0200119,25.70000076,17.10000038,1015.099976,24.85778133,24.09784808,20.08008158,25.00649746,24.09784808,137.4486292,1236.971517,10,2600.086357
15.37857914,6,34.59405989,-14.63312663,1,0,0,0,0,1,0,1,0,0,1,9,45,5,8,2.023472309,3,69.23077393,0.01,6,1,5,0,20,1.416430622,0.200474705,0.217436814,0.301748781,0.420036149,0.588858366,0.391804347,0.330512646,0.352253178,5,12,198,274,240,132,31,892,-1.820000052,33.29176879,26.89999962,18.89999962,1468.5,16.1282548,21.00969805,15.80589196,23,21.00969805,136.7263031,935.7028735,18,1570.46991
23.92223358,6,34.63466263,-14.63284969,1,0,0,0,0,1,0,0,1,0,1,4,30,9,9,1.214083433,2,100,0,2,0,3,0,35.57730103,1.214083403,0.156800002,0.181999996,0.265049994,0.40959999,0.506250024,0.386099994,0.309799999,0.342900008,5,12,196,271,235,131,28,878,-1.720000029,32.49999237,27.10000038,18.89999962,1470.099976,15.74606497,22.21117035,17.57925813,24.58249001,22.21117035,138.9082361,949.2642347,18,918.7402023
104.1666641,6,34.63394928,-14.62966633,0,0,0,0,0,0,0,0,1,0,1,1,67,0,0,0.720000029,1,100,0,1,0,1,0,130.988266,0.720000029,0.144299999,0.128999993,0.259449989,0.385399997,0.509199977,0.357600003,0.305799991,0.342900008,5,12,196,271,235,131,28,878,-1.720000029,32.49999237,27.10000038,18.89999962,1470.099976,16.4717704,21.44422728,17.81679058,23.32931597,21.44422728,139.5927638,944.7224496,18,901.1880862
115.7407379,1,34.76137924,-14.72340965,1,0,1,0,0,0,0,0,1,0,1,3,22,3,3,0.360000014,1,100,0,3,0,3,0,13.26000023,0.216000006,0.152400002,0.123000003,0.282050014,0.447100013,0.558350027,0.449550003,0.308899999,0.353799999,7,13,194,287,232,134,29,896,-1.909999967,31.79000282,26.60000038,18.70000076,1434,15.25623396,21,14.76836903,23.02282446,21,135.8718994,1145.999464,18,1008.187072
119.6111679,6,34.10097847,-14.20724016,0,0,0,0,0,1,1,0,1,0,0,5,50,3,7,0.404694468,1,100,0,2,0,2,0,23.19340134,0.202347234,0.163299993,0.250200003,0.204099998,0.4384,0.371499985,0.420450002,0.329549998,0.290399998,0,15,199,248,226,125,48,861,-3.480000019,35.0200119,25.70000076,17.10000038,1015.099976,25.60216056,24.59811114,21.82759704,25.10843813,24.59811114,135.4781462,1240.28846,10,2596.738213
144.5478668,6,34.63431931,-14.64018726,0,0,1,0,0,1,1,0,1,0,1,5,45,7,10,1.011736155,2,100,0,3,0,5,0,63.33257294,0.758802071,0.155499995,0.138899997,0.284099996,0.423299998,0.509000003,0.381550014,0.264400005,0.367300004,5,12,196,271,235,131,28,878,-1.720000029,32.34999847,27.10000038,18.89999962,1470.099976,17,21.44452661,19.42728795,24.94682676,21.44452661,138.4178413,949.5863246,18,962.0560809
200.0096893,1,34.76165771,-14.73011017,1,0,0,0,0,1,0,1,0,1,0,5,55,5,9,0.910562575,2,66.66667175,0.100000001,2,1,3,0,454.6516724,0.859975744,0.151800007,0.112499997,0.306549996,0.449149996,0.577849984,0.329450011,0.322450012,0.360799998,7,13,194,287,232,134,29,896,-1.909999967,31.27001381,26.60000038,18.70000076,1434,14.15616092,20.97459288,14.34860439,22.17364914,20.97459288,138.3855696,1108.743459,18,1012.289736
203.7612915,6,34.63554764,-14.63231945,1,0,1,0,0,1,1,1,1,0,0,2,46,4.5,9,1.011736155,2,100,0.090000004,4,1,5,0,225.7660065,2.002347186,0.156872356,0.182031007,0.266665985,0.410108222,0.505052681,0.385922547,0.310587322,0.344360939,5,12,196,271,235,131,28,878,-1.720000029,32.49999237,27.10000038,18.89999962,1470.099976,16.95095776,22.04800006,18.31018983,24.68336129,22.04800006,139.7354405,952.7870108,18,914.3574796
211.8042755,6,34.58217374,-14.60688554,1,0,1,0,0,1,0,0,1,0,1,2,69,2,4,1.214083433,2,100,0,4,0,6,0,184.5,0.708215311,0.187208493,0.164275113,0.216141641,0.381420792,0.556025026,0.454212635,0.35206672,0.311616679,5,13,210,285,247,139,38,937,-2.180000067,32.48000336,25.60000038,17.70000076,1567.699951,18.45431856,21.6372576,19.44610436,24.49138756,21.6372576,135.6077878,908.9214769,17.5693819,1706.085844
247.1049957,6,34.59565134,-14.63345046,1,0,0,0,0,1,1,0,0,0,1,3,65,2.666666746,8,1.416430593,2,0,0,4,0,5,0,56.12999725,0.809388936,0.182419247,0.169776328,0.301502621,0.405399013,0.540764528,0.397599904,0.344002736,0.351915304,5,12,198,274,240,132,31,892,-1.820000052,32.76223538,26.89999962,18.89999962,1468.5,16.44289243,21,14.06949799,23.33475074,21,135.6450148,929.6016417,18,1538.328856
247.1049957,6,34.63737869,-14.63263798,0,0,0,0,0,1,0,0,0,1,1,7,55,5.5,12,0.809388936,1,100,0,1,0,1,0,0,0.809388936,0.158899993,0.182899997,0.311949998,0.424349993,0.471500009,0.380950004,0.332650006,0.38530001,5,12,196,271,235,131,28,878,-1.720000029,32.49999237,27.10000038,18.89999962,1470.099976,17.8231583,22.37875066,20.06619884,25.00520211,22.37875066,138.2288327,957.8014867,18.00309451,913.5087279
247.1049957,6,34.06442607,-14.32642625,1,0,1,0,0,1,1,0,0,1,1,4,37,0.5,1,0.607041717,2,100,0,3,0,3,0,130.9600067,0.404694468,0.173999995,0.281500012,0.240199998,0.27790001,0.438450009,0.493000001,0.285149992,0.281500012,1,16,204,247,231,126,53,878,-3.380000114,30.18999672,25.60000038,17.10000038,967.2000122,14.80107878,24.26727498,24.1030315,25.68920217,24.26727498,133.2613384,1236.114276,10,2532.149775
247.1049957,6,34.51902086,-14.22140339,0,0,0,0,0,1,0,0,1,0,1,4,70,0,0,0.202347234,1,100,0,1,0,1,0,29.65758705,0.202347234,0.168500006,0.219699994,0.249400005,0.33129999,0.486200005,0.392349988,0.352400005,0.301699996,0,10,205,273,237,127,43,895,-4.139999866,37.52999115,29.20000076,21.29999924,1410.800049,17.11648568,20.01065567,15.26781697,21.31405477,20.01065567,140.0199068,520.0387177,17,1161.942106
247.1049957,6,34.52140225,-14.2173487,0,0,0,0,0,1,0,1,1,0,0,1,61,0,0,0.404694468,2,100,0,1,0,1,0,10.43092442,0.101173617,0.160999998,0.145400003,0.196799994,0.350499988,0.45205,0.379449993,0.326649994,0.307900012,0,10,205,273,237,127,43,895,-4.139999866,37.52999115,29.20000076,21.29999924,1410.800049,19.44282166,21.18313795,16.0200717,22.67786603,21.18313795,140.2498226,520.5289652,17,1177.303098
264.7553711,6,34.63416672,-14.62967396,1,0,0,0,0,0,0,0,1,0,1,4,45,6.25,8,0.404694468,2,100,0,4,0,6,0,7.5,0.283286124,0.144299999,0.128999993,0.259449989,0.385399997,0.509199977,0.357600003,0.305799991,0.342900008,5,12,196,271,235,131,28,878,-1.720000029,32.49999237,27.10000038,18.89999962,1470.099976,15.90851209,21.07517779,16.75533868,23.05497503,21.07517779,139.9106967,945.534743,18,900.931504
