Yield,Clusters,Long,Lat,Intercrop,Fert,Manure,Labour,Pest,Residue,Rotation,Fallow,Femhead,Mindis,Erosion,Hhsize,Headage,Meanedu,Educmax,Landsize,Nplots,FempltsF,TLU,CropD,LvstD,Ntreat,Ncrop,FertHa,Totincome,MaizeA,octEVI,novEVI,decEVI,janEVI,febEVI,marEVI,aprEVI,seasEVI,octprec,novprec,decprec,janprec,febprec,marprec,aprprec,seasprec,pdsi,lst,Maxtemp,Mintemp,Soilmoist,Silt,Sand,Clay,CEC,Orgcab,Soilbulk,DEM,MarketAccess,LivDens
13.72805595,6,34.52226705,-14.21487245,0,0,1,0,0,0,0,0,1,0,0,5,54,0,0,0.404694468,1,0,0,2,0,0,1,0,28.53650284,0.364217639,0.141000003,0.161500007,0.268649995,0.358850002,0.455300003,0.41049999,0.383049995,0.363799989,35,34,346,340,183,410,42,1390,4.300000191,40.5200119,30,20.89999962,1659.099976,20.05935598,21.31670696,15.86158183,23.07716663,21.31670696,139.7170832,518.5210586,17,1183.606267
30.88812447,6,34.5886386,-14.60373311,0,0,1,0,0,1,0,0,1,0,0,7,66,3,7,1.214083314,1,0,0.090000004,2,1,0,2,0,0.794202864,0.809372544,0.157700002,0.172649994,0.186550006,0.366050005,0.449400008,0.38409999,0.30704999,0.310499996,39,41,337,316,216,499,40,1488,3.799999952,37.86998749,28.10000038,18.5,1710,19.54775601,20.86354093,15.30928642,24.31266654,20.86354093,134.7193348,897.5891873,17.9479736,1562.982906
32.94733429,3,34.59546808,-14.42767177,1,0,0,0,0,0,1,0,1,1,1,5,46,1,1,0.566572249,3,0,0.01,5,1,2,5,0,37.60709381,0.303514682,0.134299994,0.138699993,0.2007,0.262899995,0.362650007,0.213149995,0.236750007,0.223900005,36,33,337,313,192,438,29,1378,3.900000095,36.39000702,30,20.70000076,1785.800049,21.59550337,20.58292454,19.90764786,23.13164593,20.58292454,136.7563449,552.6840439,17,928.5684205
72.01345825,6,34.60546664,-14.64574682,0,0,0,0,0,0,0,0,1,1,0,1,80,3,3,1.011736155,3,0,0,2,0,0,2,0,209.3825226,0.708200961,0.134569529,0.161043519,0.216158769,0.387922539,0.427727193,0.384687754,0.364755581,0.333644871,39,43,338,316,226,505,41,1508,3.799999952,40.74001312,27.79999924,18.39999962,1656.300049,20.68317504,20.66946001,18.68712561,24.88974695,20.66946001,136.7907652,920.330536,18,1376.385586
101.5500031,3,34.59114758,-14.43503558,1,0,0,0,0,0,1,0,1,0,1,7,47,2.25,3,1.71995151,3,0,0.050000001,6,1,2,8,0,284.987793,1.477104869,0.141100004,0.162249997,0.250950009,0.36680001,0.409500003,0.356550008,0.423649997,0.351200014,36,33,337,313,192,438,29,1378,3.900000095,39.52999115,30,20.70000076,1785.800049,24.98425188,20.21515618,18.42962582,23.53816896,20.21515618,137.4506839,555.9129341,17,901.8540665
102.9604187,3,34.59151785,-14.43243129,0,0,1,0,0,1,0,0,1,0,1,2,67,0,0,0.809388936,1,0,0,2,0,0,1,0,104.2248306,0.728435278,0.138031087,0.165926066,0.216511762,0.349114719,0.464430684,0.434945422,0.404747087,0.36254954,36,33,337,313,192,438,29,1378,3.900000095,36.21790223,30,20.70000076,1785.800049,23.72898722,20.83212498,17.02198511,24,20.83212498,137.4250399,556.2249772,17,909.0009649
123.5525055,6,34.07109713,-14.31577031,0,0,1,0,0,0,0,0,0,0,0,3,29,6,7,0.303520858,2,0,0,3,0,0,1,0,110.2799835,0.080937251,0.184200004,0.199599996,0.30219999,0.58434999,0.497750014,0.435050011,0.44569999,0.435099989,39,54,341,246,223,306,87,1296,4.199999809,34.0200119,26.5,16.5,1106.199951,14.39366286,24.07218135,22.24244315,24.39804158,24.07218135,134.152113,1262.133982,10,2579.227528
133.0565338,6,34.10228736,-14.20519735,1,0,1,0,0,0,1,0,1,0,1,4,49,3.25,7,1.011736155,3,0,0,4,0,0,5,0,65.38640594,0.526092142,0.157399997,0.14215,0.199949995,0.302100003,0.512700021,0.451299995,0.408549994,0.361900002,35,50,331,243,208,305,72,1244,4.199999809,36.20998383,26.60000038,16.60000038,1164.900024,25.86428285,24.22666526,22.11072941,25.47542379,24.22666526,133.7140674,1237.218125,10,2583.385349
164.7366791,6,34.52384379,-14.22092106,0,0,1,0,0,1,0,0,1,0,1,1,67,1,1,0.404694468,1,0,0,3,1,0,1,0,13.66187763,0.303514689,0.143544102,0.162730979,0.222659282,0.355944931,0.468087131,0.463868918,0.427780928,0.363712737,35,34,346,340,183,410,42,1390,4.300000191,40.31999969,30,20.89999962,1659.099976,17.38144808,21,14.45259364,20.67257932,21,141.6301133,517.5758356,17,1202.072885
174.427063,6,34.07604121,-14.3187051,1,0,0,0,0,1,0,0,0,0,1,7,36,3,3,0.910562575,2,0,0.029999999,3,1,0,3,0,24.39632416,0.68796663,0.152187725,0.171610638,0.242976078,0.329360076,0.513876828,0.457941638,0.419200003,0.350341642,39,54,341,246,223,306,87,1296,4.199999809,33.89000702,26.5,16.5,1106.199951,14.43935095,23.10792751,21.28391822,23.23453043,23.10792751,134.493241,1259.286844,10,2595.885729
